timestamp,fitness_discipline,title,duration,instructor,calories,distance
2021-03-25 13:18:51+00:00,running,30 min Intervals Run,1800,Chase Tucker,355,2.96
2021-03-22 17:02:20+00:00,running,30 min HIIT Run,1800,Olivia Amato,334,3.33
2021-03-20 13:14:08+00:00,running,30 min EDM Run,1800,Olivia Amato,346,3.3
2021-03-17 13:19:14+00:00,running,30 min Intervals Run,1800,Rebecca Kennedy,317,3.24
2021-03-16 15:13:24+00:00,running,30 min Breakthrough Run,1800,Olivia Amato,345,3.36
2021-03-15 12:15:10+00:00,running,30 min Endurance Run,1800,Selena Samuela,341,3.49
2021-03-14 18:19:38+00:00,running,30 min HIIT Run,1800,Chase Tucker,351,3.34
2021-03-11 17:10:49+00:00,running,30 min Intervals Run,1800,Olivia Amato,357,3.42
2021-03-10 15:06:44+00:00,running,30 min Intervals Run,1800,Olivia Amato,356,3.37
2021-03-08 13:11:45+00:00,running,30 min Endurance Run,1800,Selena Samuela,343,2.94
2021-03-06 14:19:50+00:00,running,20 min Hip Hop Run,1200,Chase Tucker,243,2.27
2021-03-01 20:10:52+00:00,running,30 min HIIT Run,1800,Rebecca Kennedy,348,3.46
2021-02-28 15:13:11+00:00,running,30 min Progression Run,1800,Selena Samuela,373,3.44
2021-02-28 14:41:02+00:00,running,20 min Intervals Run,1200,Olivia Amato,218,2.28
2021-02-26 19:11:15+00:00,running,30 min Intervals Run,1800,Chase Tucker,366,3.46
2021-02-24 15:17:06+00:00,running,30 min Intervals Run,1800,Chase Tucker,363,3.46
2021-02-22 19:02:07+00:00,running,45 min Intervals Run,2700,Selena Samuela,554,5.12
2021-02-20 14:18:07+00:00,running,30 min Tempo Run,1800,Selena Samuela,367,3.26
2021-02-19 13:17:50+00:00,running,30 min HIIT Run,1800,Chase Tucker,348,3.15
2021-02-16 21:19:26+00:00,running,30 min Intervals Run,1800,Selena Samuela,301,3.38
2021-02-15 18:26:39+00:00,running,30 min Intervals Run,1800,Chase Tucker,242,2.68
2021-02-13 16:52:25+00:00,running,20 min HIIT Run,1200,Robin Arzón,121,1.27
2021-02-13 16:12:22+00:00,running,20 min HIIT Run,1200,Selena Samuela,210,2.32
2021-02-12 19:24:54+00:00,running,20 min Beyoncé Run,1200,Robin Arzón,183,2.05
2021-02-06 16:20:28+00:00,running,30 min Pop Run,1800,Jess Sims,565,3.22
2021-02-05 14:45:35+00:00,running,20 min House Run,1200,Olivia Amato,501,2.21
2021-02-04 18:40:25+00:00,running,45 min Rock Run,2700,Rebecca Kennedy,1127,4.35
2021-02-03 17:25:54+00:00,running,20 min Intervals Run,1200,Olivia Amato,165,1.33
2021-02-03 16:59:34+00:00,running,20 min HIIT Run,1200,Adrian Williams,185,1.67
2021-01-31 19:24:50+00:00,running,10 min Long Run Warm Up,600,Robin Arzón,111,1.09
2021-01-31 18:53:17+00:00,running,30 min Pop Fun Run,1800,Chase Tucker,328,3.41
2021-01-25 02:19:12+00:00,running,20 min HIIT Run,1200,Matt Wilpers,221,2.24
2021-01-25 01:46:02+00:00,running,20 min Pop Fun Run,1200,Robin Arzón,192,1.95
2021-01-23 03:29:28+00:00,running,30 min Tempo Run,1800,Olivia Amato,215,2.2
2021-01-23 03:04:41+00:00,running,20 min HIIT Run,1200,Robin Arzón,199,1.99
2021-01-23 02:33:02+00:00,running,20 min Intervals Run,1200,Selena Samuela,215,2.07
2021-01-23 01:56:53+00:00,running,30 min Tempo Run,1800,Olivia Amato,327,3.46
2021-01-19 18:28:00+00:00,running,30 min EDM Run,1800,Chase Tucker,246,2.43
2021-01-19 18:26:45+00:00,cycling,45 min HIIT & Hills Ride,2700,Hannah Frankson,281,10.06
2021-01-19 16:54:36+00:00,running,45 min R&B Run,2700,Chase Tucker,448,4.74
2021-01-18 02:39:08+00:00,running,20 min Intervals Run,1200,Matt Wilpers,201,2.12
2021-01-18 01:58:16+00:00,running,20 min Intervals Run,1200,Selena Samuela,189,1.9
2021-01-16 19:34:44+00:00,running,10 min Cool Down Run,600,Selena Samuela,101,1.07
2021-01-16 19:14:04+00:00,running,20 min HIIT Run,1200,Selena Samuela,204,2.15
2021-01-15 19:30:23+00:00,running,45 min Intervals Run,2700,Chase Tucker,459,4.85
2021-01-12 21:07:43+00:00,running,20 min Hip Hop Run,1200,Chase Tucker,209,2.21
2021-01-12 00:48:13+00:00,running,20 min Pop Run,1200,Chase Tucker,221,2.33
2021-01-10 22:05:46+00:00,circuit,30 min Bootcamp: Full Body,1800,Rebecca Kennedy,204,1.91
2021-01-09 18:37:51+00:00,running,30 min HIIT Run,1800,Chase Tucker,293,3.1
2021-01-07 20:57:15+00:00,running,20 min Intervals Run,1200,Selena Samuela,207,2.19
2021-01-06 23:04:02+00:00,running,30 min Pop Fun Run,1800,Robin Arzón,324,3.42
2021-01-05 18:57:53+00:00,running,30 min 2010s Run,1800,Andy Speer,318,3.36
